,For_key_ID,LSST_u,LSST_g,LSST_r,LSST_i,LSST_z,VIS,NISP_Y,NISP_J,NISP_H,z,t/Gyr,M*,M_initial,Z,SFH,tau/Gyr,Av_law,Av,t_l,physical,delta_LSST_u,delta_LSST_g,delta_LSST_r,delta_LSST_i,delta_LSST_z,delta_VIS,delta_NISP_Y,delta_NISP_J,delta_NISP_H
179014,848224,19.19090660269698,17.959049321793803,17.886873988951002,17.96564660363262,18.064739449209608,17.971547512653093,18.410342620319234,18.873011075977065,19.367755018767987,2.8,0.001,0.9845,10000000000.0,-0.3,1.0,1.0,1.0,0.4,11.4577217,True,0.012345944490503918,0.005808236878494792,0.009801314389764471,0.013600795791605736,0.017203005174542645,0.005816266799882565,0.029005764726568236,0.033975379776575484,0.039308305254590364
142713,731125,22.96507282709443,18.78944555735657,17.920940638253313,17.878507655306183,17.848193383201156,17.944532983276673,17.953046265444936,18.331169296478947,18.6482147141219,3.5,0.005,0.9509,10000000000.0,-0.3,1.0,3.0,1.0,0.4,11.972641,True,0.05323096262228043,0.008099240962741375,0.009935833838153902,0.013125755796079335,0.01573418745436257,0.005753926632634128,0.02396427639694544,0.02724735310910532,0.029711482352148107
72351,519377,20.99598082153127,19.657901378346168,17.57128992459852,15.86700120151002,16.036124444280706,16.69037931536543,16.43105321307941,16.82381570159611,17.525945195649367,5.88,0.005,0.9509,10000000000.0,-0.3,1.0,10.0,0.0,0.0,12.8201351,True,0.025042882739211757,0.01146896744472907,0.008638618995769199,0.005807701944743662,0.007509384120797369,0.003487902369151028,0.012804549989382632,0.014800770344706787,0.019130411855056928
151384,743416,18.818081193636342,17.65489088494025,17.371482827191507,17.111777225014418,17.137095383389585,17.277484123173014,17.283891105091232,17.358956162790847,17.3576614771288,2.63,0.008,0.9261,10000000000.0,0.3,1.0,0.1,1.0,0.4,11.2952738,True,0.010656248019870126,0.005142381823072785,0.007974882995551208,0.00960913555504908,0.011754504321316342,0.004409245902299621,0.01816704617245905,0.018372333487901044,0.017902938507765996
151872,743921,15.911781679714815,15.735772779856498,15.550724409008744,15.66513606225502,15.801142184570331,15.642204274901754,15.631128877399517,15.681071886548386,15.848579205186489,1.67,0.01,0.9128,10000000000.0,0.3,1.0,0.1,1.0,0.4,9.8863077,True,0.003360193752183105,0.0023856367699910267,0.003849145428890184,0.005353580285154095,0.006827226637275372,0.002294691568910143,0.009244519012602778,0.009340375155185241,0.0098538130850067
80333,528495,22.27308921867486,22.304872196811576,22.492611549541603,22.088245560265893,20.945495972482764,22.244913359969743,20.133756926453763,19.839767181109167,19.475768951483765,1.22,1.5,0.6478,10000000000.0,-0.3,1.0,10.0,0.0,0.0,8.711649900000001,True,0.04096041234283525,0.033168384552980865,0.06196754915917356,0.07736139990224762,0.05847420419288326,0.031739809803255414,0.060691003716284324,0.050499179281580014,0.04098682901140975
196067,877676,21.04173672759529,21.069884342590434,21.21428472508078,21.095372121918636,20.965024527287863,21.256034813610338,19.801960638733817,19.53681112331573,19.79645595506305,1.68,0.2,0.7309,10000000000.0,0.0,1.0,0.1,0.0,0.0,9.9072838,True,0.02549202407565622,0.020200602366678738,0.037129946202013535,0.05010537536165451,0.058982655314819124,0.021476540235756868,0.05249093635633125,0.044582489911961336,0.046387858098177935
138155,713331,17.434661196689728,17.577351199852437,17.844290456603378,17.530280688086993,16.97381343476617,17.608416290315095,17.052905250614224,17.063365608371345,16.616444987000662,1.0,0.3,0.7314,10000000000.0,0.3,1.0,10.0,0.0,0.0,7.9164371,True,0.006159200189354795,0.004985219900033135,0.00963572329319367,0.011390015628177666,0.010996242783700377,0.005031810997413223,0.016519782305472994,0.01630363034618936,0.013358703785971376
134906,709988,22.59701872634845,18.37106172114309,17.731500485649022,17.962035838231586,17.93519289147402,17.884965291698453,18.10035852088722,18.613211865897586,19.06138685866405,3.63,0.03,0.8534,10000000000.0,0.3,1.0,10.0,0.0,0.0,12.047557800000002,True,0.046328081930870166,0.006849901397313215,0.009210523606234266,0.013580767679117664,0.016308135828159646,0.005618809654465831,0.02548028726743828,0.03056077194059405,0.03490151827973252
184451,855277,22.568344230764545,22.21572651051288,22.05528806344428,21.57365192403654,20.32461751144537,21.70312375364473,19.582345493484965,19.25739329763913,18.854343911346426,1.21,0.4,0.7116,10000000000.0,-0.3,1.0,1.0,1.0,0.4,8.6793013,True,0.045827305195380266,0.032001056749468945,0.052004906509700084,0.06164307855727558,0.04455785952381297,0.02563092737001712,0.04772702015644912,0.03975614994931456,0.032199143529200815
23005,146869,15.969801072681873,16.184375131635964,16.630457299329635,16.89395450305506,16.815737959808118,16.76187970120682,16.212150801461327,16.39669778582548,16.512427909157953,1.36,0.1,0.7892,10000000000.0,-0.3,1.0,3.0,0.0,0.0,9.1322308,True,0.003438779428019302,0.0028547252736020328,0.005928766140305566,0.008796791934497505,0.010309659452930385,0.00358892448158396,0.01171020020131117,0.01245903253623312,0.0128198906258439
158418,767659,18.796871466651922,15.229594222869954,15.126179620260588,15.501766754972312,15.689915571956087,15.345556453596187,16.098940659475666,16.743006436042375,17.0264679180296,3.51,0.01,0.9139,10000000000.0,-0.3,1.0,1.0,0.0,0.0,11.9785938,True,0.010567306885645809,0.0019482483628817558,0.0032479124947995307,0.005012383826489996,0.006526559775300294,0.0020381883738335594,0.011182124413928905,0.014325979322217032,0.01570957080352071
53485,329996,17.618130018876414,17.233118974440032,17.27940432150356,17.42632544242215,17.624820445839752,17.406937590162904,17.986919597124047,18.36809645559384,18.980880953561105,2.4,0.001,0.9845,10000000000.0,-0.3,1.0,10.0,1.0,0.4,11.0436535,True,0.006624671078208425,0.004343544947213309,0.0076864236911175065,0.010918533727329871,0.014353715036985728,0.004643060257593687,0.02430436730696506,0.02765949967247649,0.033825507401056186
147193,736912,21.77603911135921,21.453421104717,21.3667445286611,21.010652590547707,20.113051192442235,21.14393084670412,19.2327255440374,18.993014890364584,18.69138928902848,1.27,0.3,0.7316,10000000000.0,-0.3,1.0,3.0,1.0,0.4,8.8685942,True,0.033859794654979763,0.02356157510762149,0.03946792733751928,0.048315259890108084,0.040670950291631126,0.020543967529582915,0.04107374664969634,0.0356815999684721,0.030216511251424695
92744,591225,23.553921703705434,21.864962529291567,18.868519541501936,17.14083043896884,17.00608148881686,17.92652374109406,17.38463736728793,17.566122148271152,18.12578400507964,5.72,0.01,0.9139,10000000000.0,0.3,1.0,1.0,0.0,0.0,12.7858105,True,0.06630164747622741,0.027794849061849883,0.014517248801345773,0.00972309031869318,0.01114202991037008,0.005712738174318086,0.01893757300075691,0.019978566335157787,0.02421722183215071
122401,668586,19.26448725300676,19.09714347536475,17.726436407617193,16.805299018018147,16.564463345419767,17.24702655274443,16.229767490932993,15.738542696623252,15.281585844767534,0.59,0.8,0.6712,10000000000.0,0.0,1.0,1.0,1.0,0.2,5.8001795,True,0.012709378684036366,0.0091614521992922,0.009191879449075171,0.008486416060871603,0.00930688440771745,0.004355964382285232,0.011794629957786363,0.009558820800962948,0.007866912504195706
34174,261297,22.433703511167693,18.616719141955237,17.135990267802732,17.280579380352453,17.104862785769242,17.206879109514787,17.212109866595426,17.61708612207436,18.13235908084296,4.0,0.01,0.9141,10000000000.0,0.3,1.0,3.0,1.0,0.2,12.2348328,True,0.04354359881279014,0.007557955316201581,0.007257788696297494,0.01029068583910347,0.011600703315196628,0.004286712131065025,0.017637796193204932,0.020395028661368417,0.024279756111835343
105756,608536,21.73198798065229,21.3848070720122,21.133105891138857,20.13812149210111,19.33472583863025,20.526091973351647,18.954708377062854,18.543544954248517,17.626998178279415,0.96,0.5,0.7044,10000000000.0,0.3,1.0,10.0,1.0,0.4,7.750747200000001,True,0.03329080676909717,0.02292156783094778,0.035942172150233966,0.033370623410967845,0.029204133158505913,0.016079936151761034,0.03648919816031481,0.029706009798895892,0.01990693140521304
183880,854122,22.36954330515726,22.030054652121493,21.894846706745685,21.60778441756151,21.423383834274837,21.88432309036482,20.340597105332783,19.92801099423676,19.774696482525663,1.68,0.2,0.7505,10000000000.0,-0.3,1.0,1.0,1.0,0.4,9.9072838,True,0.04249367773671503,0.029700538253632492,0.04876680686769882,0.0625697356263508,0.07243764455422347,0.02753241581521591,0.06650347207930647,0.0523702105528174,0.046000687237871804
96994,595585,18.83136751795816,18.806924422856987,19.067819398377157,19.14594198321259,18.521061229714974,19.053819795173933,18.18226239949856,18.27383538391057,18.10911299464105,1.24,0.3,0.7279,10000000000.0,0.3,1.0,1.0,0.0,0.0,8.7753744,True,0.01071233930034968,0.008156133392099342,0.015722598346717416,0.022078233389726996,0.020779941470428883,0.00895373671880736,0.02636600438511261,0.026619771299847057,0.024059373817986767
