,For_key_ID,LSST_u,LSST_g,LSST_r,LSST_i,LSST_z,VIS,NISP_Y,NISP_J,NISP_H,z,t/Gyr,M*,M_initial,Z,SFH,tau/Gyr,Av_law,Av,t_l,physical,delta_LSST_u,delta_LSST_g,delta_LSST_r,delta_LSST_i,delta_LSST_z,delta_VIS,delta_NISP_Y,delta_NISP_J,delta_NISP_H
243028,833414,20.244439931444717,18.886509678380257,18.10156489381271,17.60133742220005,17.23190305258682,17.75468084232979,16.725266130091704,16.342437887273558,15.969695775601844,0.09,0.8,0.6712,10000000000.0,-0.3,1.0,1.0,1.0,0.8,1.2139188,True,0.0028481595876686016,0.0006170556311551355,0.0005204803284169662,0.00043251813331665975,0.0003703431532212423,0.00021749251733347436,0.00033555546782537156,0.00023583286117020058,0.000167341755241571
272429,878791,22.922050306356333,22.92029741131257,22.505370475024026,21.608454620122664,21.387867502053727,21.934957247841723,21.26956491291551,21.125713483059165,20.883409763723026,0.81,0.4,0.6816,10000000000.0,0.0,1.0,0.1,0.0,0.0,7.0593863,True,0.03445437053527673,0.025332865654426443,0.03026943537275098,0.016943546542862294,0.017233136182237627,0.010060146843558729,0.021837570495536113,0.01897948045988581,0.015461239940753366
119174,545389,19.638877909420405,19.435416045895327,18.876824064821385,18.746328880930417,18.656396840557736,18.802099053722777,18.482037572834187,18.05755407604638,17.808377025763132,0.41,0.04,0.8382,10000000000.0,0.0,1.0,3.0,1.0,0.6,4.4839039000000005,True,0.0016288621060803012,0.0010230204610779995,0.0010630760155246996,0.0012402930781060739,0.0013763355257910587,0.0005703800408615487,0.0016912364105612129,0.0011436267889815145,0.0009100899530046513
48529,260765,23.48836281805419,22.561685639242175,21.168420464956334,21.04672450242173,21.12166824330782,21.130198212389757,21.104136002120093,21.20435043037908,21.40606840401016,4.69,0.008,0.927,10000000000.0,0.3,1.0,3.0,1.0,0.2,12.5056019,True,0.05924944955452731,0.018208925539058732,0.008790312606031636,0.010194462201932975,0.013448824303728518,0.004835087300795427,0.018777783173733235,0.02037812960238181,0.025026742199691424
267381,873734,22.465749515323377,21.333292150813953,20.4992697986583,20.591669931333357,20.732313466537335,20.568976026219964,20.829657478641693,21.051243774436177,21.33700733790563,4.33,0.01,0.9128,10000000000.0,0.0,1.0,0.1,0.0,0.0,12.3751659,True,0.022403935824474346,0.0058749519637679585,0.004741593511928521,0.006736034765937588,0.009367944734263157,0.0028925729460530826,0.014611147331094552,0.017742071290260248,0.02348358083723841
132227,591535,20.833320387761002,20.387438562790955,20.498970138336116,20.549794385643523,20.576020189124065,20.526682533004696,20.805498293694793,21.000221995781473,21.061740089098713,2.81,0.02,0.8752,10000000000.0,0.3,1.0,1.0,0.0,0.0,11.466728199999999,True,0.004907771338188448,0.002458579861651182,0.00474028354221135,0.00648342244218004,0.008104464420025641,0.00278255860470603,0.014291714107961786,0.016940425713694755,0.018222347315378463
11626,106124,18.559536994878073,18.721808316151815,19.015686411923866,19.275475875417513,19.444818384103144,19.15107754097589,19.680223246216475,20.040850773170064,20.476331791803112,1.31,0.001,0.9845,10000000000.0,0.0,1.0,3.0,1.0,0.2,8.9886427,True,0.0006022326817737128,0.0005302056116697978,0.0012081596301437934,0.0020170855582540043,0.0028481595876686024,0.0007863290491167009,0.005091014335830445,0.007066499295109073,0.010625865636365996
229148,802314,21.967532011829732,21.29748916174875,21.153451708989316,21.08293373339369,21.027067793033815,21.114476513110557,21.133490733291783,21.184273799139532,21.116616241138114,2.76,0.008,0.9269,10000000000.0,0.3,1.0,1.0,1.0,0.4,11.421106300000002,True,0.014059320132137754,0.005684395931958484,0.008669704995614423,0.0105352372439996,0.012316415170124752,0.004766112836827726,0.01928787220872383,0.020011715497217558,0.019167449158733373
220464,770051,23.281242693068126,21.498807325324556,21.430597036750623,21.571212545593028,21.624004752158672,21.510543578178222,21.803408918896885,22.02783089316786,21.899604762740772,3.39,0.05,0.8259,10000000000.0,-0.3,1.0,1.0,0.0,0.0,11.904955900000001,True,0.048529332740153065,0.006842334788739842,0.011197583766202326,0.01638491980036248,0.021486432825714295,0.00684107450017341,0.03548169186169721,0.04259163578070376,0.03944248962543103
165610,662878,23.901128989869946,22.0414769115255,21.708448958788658,21.83770759029678,21.792802609816626,21.77930231026019,21.91175056554894,22.099247631602378,22.024982873781052,3.61,0.03,0.8531,10000000000.0,0.0,1.0,1.0,1.0,0.2,12.0363712,True,0.08874917405340685,0.011278317592630432,0.014474524975557327,0.02081442030318581,0.0251677458663538,0.008735430644821332,0.039138512874160536,0.04536535565156001,0.04427558621013318
